INDICE;LATITUDE;LONGITUDE;CODIGO_ROTA;SEQUENCIA;LOGRADOURO;NUMERO
400090311.0;-22.811691;-43.32751;72_203;253.0;GAL OSCILIO MAIA;211
400452391.0;-22.809864;-43.32846;72_204;196.0;PADRE BOSS;252
400322855.0;-22.81196;-43.320055;72_213;31.0;CONS MEIRELLES;119
402364814.0;-22.807947;-43.319689;72_210;433.0;MAL ANTONIO SOUZA;1142
400461493.0;-22.813149;-43.317064;72_214;376.0;CORREA DIAS;1413
400475314.0;-22.810829;-43.32907;72_203;239.0;GENERAL OSCILIO MAIA;182
400102292.0;-22.808376;-43.328592;72_204;3.0;PROF PIRES SALGADO;177
400423386.0;-22.807278;-43.324054;72_208;33.0;MIN ARTUR COSTA;712
400272223.0;-22.811758;-43.324807;72_202;295.0;FRANZ SCHUBERT;9
400105705.0;-22.807613;-43.328772;72_206;12.0;ALVARO DE MAGALHAES;95
400364831.0;-22.814158;-43.318219;72_213;460.0;MAL ANTONIO SOUZA;442
400107037.0;-22.804836;-43.325746;72_207;27.0;MIN ARTUR COSTA;1142
400091408.0;-22.8116;-43.319465;72_213;70.0;CONS MEIRELLES;58
400444824.0;-22.810051;-43.327044;72_204;400.0;PADRE PERONEILLE;235
400450176.0;-22.80829;-43.328151;72_206;454.0;PROF COSTA RIBEIRO;495
400007374.0;-22.815191;-43.321371;72_201;320.0;GAL MAGALHAES BARATA;206
400428725.0;-22.802926;-43.326;72_207;254.0;TALES DE CARVALHO;256
400095442.0;-22.813049;-43.325047;72_202;94.0;PLINIO BARRETO;381
402031887.0;-22.805138;-43.325533;72_207;19.0;MIN ARTUR COSTA;1102
400106696.0;-22.81095;-43.320332;72_211;260.0;ANTONIO DE ALBUQUERQUE;21
400097510.0;-22.807529;-43.322875;72_208;127.0;DEBUSSY;440
400010700.0;-22.812315;-43.319219;72_213;206.0;MAL FELIPE SCHMIDT;188
400117392.0;-22.808666;-43.327106;72_206;71.0;ALVARO DE MAGALHAES;270
400146404.0;-22.811958;-43.327954;72_203;210.0;PADRE PERONEILLE;232
400105267.0;-22.80563;-43.322553;72_210;222.0;ATILIO VIVAQUA;220
400432493.0;-22.807584;-43.330183;72_204;25.0;RODOLFO CHAMBELLAND;370
400095610.0;-22.809285;-43.32484;72_205;12.0;PINTOR MARQUES JUNIOR;583
400397669.0;-22.810785;-43.32915;72_203;237.0;GENERAL OSCILIO MAIA;172
400473257.0;-22.810333;-43.317419;72_212;415.0;TEIXEIRA E SOUSA;78
400106978.0;-22.805464;-43.322918;72_209;86.0;ATILIO VIVAQUA;171
400107603.0;-22.809323;-43.327071;72_204;76.0;PROF PIRES SALGADO;346
400100232.0;-22.807696;-43.320342;72_210;131.0;CHARLES GOUNOD;411
400420063.0;-22.811816;-43.328462;72_203;393.0;ANTONIO DA SILVA;150
400378411.0;-22.811122;-43.319563;72_213;152.0;JORN GERALDO ROCHA;720
400095386.0;-22.806023;-43.32391;72_208;152.0;SEBASTIAN BACH;187
401990651.0;-22.804532;-43.327116;72_207;315.0;MAL JOSE PESSOA;12
400126083.0;-22.813049;-43.325047;72_202;95.0;PLINIO BARRETO;381
400454742.0;-22.816921;-43.320157;72_201;199.0;GAL CORREA E CASTRO;78
400114223.0;-22.809475;-43.330329;72_204;272.0;ATILIO PARIM;70
400362373.0;-22.806802;-43.323108;72_208;199.0;MOZART;291
400341587.0;-22.810331;-43.32853;72_204;428.0;ATILIO PARIM;293
400328759.0;-22.816448;-43.320076;72_201;255.0;CARI LEVI;29
400107057.0;-22.806447;-43.323189;72_208;208.0;MOZART;245
400130758.0;-22.805299;-43.326511;72_207;388.0;OTAVIO MANGABEIRA;429
400386983.0;-22.808382;-43.325929;72_205;171.0;PADRE PERONEILLE;32
400212987.0;-22.812429;-43.325934;72_203;294.0;GAL OSCILIO MAIA;529
400097956.0;-22.816642;-43.318528;72_214;455.0;CRISTIANO MACHADO;261
400105682.0;-22.808732;-43.323281;72_208;423.0;SEBASTIAN BACH;471
400128510.0;-22.806992;-43.321736;72_210;41.0;FRANZ LISZT;341
400255711.0;-22.814279;-43.323412;72_201;99.0;JORN GERALDO ROCHA;146
400108394.0;-22.811021;-43.321626;72_211;414.0;ROBERT SCHUMANN;632
400098168.0;-22.809282;-43.326203;72_205;94.0;VIANA DO CASTELO;25
400394527.0;-22.812474;-43.328616;72_203;63.0;PADRE PERONEILLE;91
400418904.0;-22.807008;-43.328958;72_206;440.0;GELABERT SIMAS;38
400150886.0;-22.817266;-43.317929;72_214;41.0;CRISTIANO MACHADO;172
402145697.0;-22.814268;-43.318193;72_213;456.0;MAL ANTONIO SOUZA;432
400355010.0;-22.815484;-43.320648;72_201;288.0;PROF FRANCA AMARAL;513
400499493.0;-22.811054;-43.325273;72_205;370.0;MONS CASTELO BRANCO;556
400158048.0;-22.806239;-43.322114;72_210;71.0;FRANZ LISZT;248
400414264.0;-22.805504;-43.321901;72_210;233.0;ATILIO VIVACQUA;260
400086758.0;-22.812553;-43.328083;72_203;349.0;JOAO DE PAULA FONSECA;199
400105065.0;-22.808193;-43.329154;72_204;44.0;PROF PIRES SALGADO;126
400453127.0;-22.809527;-43.321147;72_211;216.0;FRANZ LISZT;593
400095622.0;-22.80678;-43.32249;72_210;205.0;ROBERT SCHUMANN;301
400090880.0;-22.810791;-43.319754;72_211;365.0;CHARLES GOUNOD;742
400091634.0;-22.809201;-43.319365;72_211;342.0;MAL ANTONIO SOUZA;1124
400091588.0;-22.805548;-43.321574;72_210;235.0;ANTONIO DE ALBUQUERQUE;635
400473957.0;-22.810881;-43.325587;72_205;362.0;MONS CASTELO BRANCO;526
400255720.0;-22.812481;-43.32275;72_202;12.0;JORN GERALDO ROCHA;305
400156654.0;-22.809807;-43.327393;72_204;395.0;MONS CASTELO BRANCO;336
400399588.0;-22.803702;-43.320787;72_209;269.0;MAL ANTONIO SOUZA;1693
400386395.0;-22.813362;-43.319969;72_213;264.0;ARINOS;141
400412164.0;-22.809425;-43.325572;72_205;178.0;PEDRO DA VEIGA;80
400096193.0;-22.816401;-43.320162;72_201;252.0;CARI LEVI;39
